web-scraper-order,web-scraper-start-url,Type_Chaussures,Prix,Adresse,Image_lien-src
"1752679922-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Mocassins Sebago","10 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2358161_uploaded_image1_1593298915.jpg"
"1752679922-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Sebago","10 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2358151_uploaded_image1_1593298807.jpg"
"1752679922-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Sebago","11 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2358137_uploaded_image1_1593298700.jpg"
"1752679922-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Sebago","11 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2358134_uploaded_image1_1593298660.jpg"
"1752679922-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Sebago","11 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2358130_uploaded_image1_1593298615.jpg"
"1752679922-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Sandales homme","6 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357862_uploaded_image1_1593293211.jpg"
"1752679922-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike Air","25 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357798_uploaded_image1_1593292193.jpg"
"1752679922-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike Air","25 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357792_uploaded_image1_1593292119.jpg"
"1752679922-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike 270","15 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357775_uploaded_image1_1593291884.jpg"
"1752679922-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike","25 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357762_uploaded_image1_1593291721.jpg"
"1752679922-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Jordan One","27 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357754_uploaded_image1_1593291626.jpg"
"1752679922-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike Air Force One","20 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357731_uploaded_image1_1593291165.jpg"
"1752679922-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Jordan One","30 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357722_uploaded_image1_1593291050.jpg"
"1752679922-14","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Basket Adidas","17 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357715_uploaded_image1_1593290933.jpg"
"1752679922-15","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Adidas","17 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2357709_uploaded_image1_1593290858.jpg"
"1752679922-16","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Jordan One","35 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357573_uploaded_image1_1593286971.jpg"
"1752679922-17","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Vans","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357564_uploaded_image1_1593286835.jpg"
"1752679922-18","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Jordan","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357562_uploaded_image1_1593286808.jpg"
"1752679922-19","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Mc Queen","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357547_uploaded_image1_1593286570.jpg"
"1752679922-20","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike AF","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357544_uploaded_image1_1593286530.jpg"
"1752679922-21","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357541_uploaded_image1_1593286485.jpg"
"1752679922-22","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike 270","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357539_uploaded_image1_1593286445.jpg"
"1752679922-23","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Mc queen","22 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357538_uploaded_image1_1593286406.jpg"
"1752679922-24","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Adidas","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357536_uploaded_image1_1593286360.jpg"
"1752679922-25","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike AF","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2357534_uploaded_image1_1593286315.jpg"
