web-scraper-order,web-scraper-start-url,Type_Habit,Prix,Adresse,Image_lien-src
"1752683782-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenues enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724060_uploaded_image1_1562587746.67.png"
"1752683782-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue Enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724057_uploaded_image1_1562587700.41.png"
"1752683782-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724054_uploaded_image1_1562587650.41.png"
"1752683782-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724052_uploaded_image1_1562587604.4.png"
"1752683782-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724047_uploaded_image1_1562587553.26.png"
"1752683782-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Ensemble pour enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724043_uploaded_image1_1562587503.48.png"
"1752683782-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Ensemble costume enfant","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724000_uploaded_image1_1562587045.77.png"
"1752683782-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Ensemble costume enfant","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_723992_uploaded_image1_1562586931.16.png"
"1752683786-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe pour enfants","Prix sur demande","Petit-Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_799192_uploaded_image1_1564585177.98.png"
"1752683786-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robes pour enfant","Prix sur demande","Petit-Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_799190_uploaded_image1_1564585120.62.png"
"1752683786-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfant","Prix sur demande","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_794850_uploaded_image1_1564483781.69.png"
"1752683786-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Costume Enfant","Prix sur demande","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_789093_uploaded_image1_1564310873.21.png"
"1752683786-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Tenue enfant","18 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_780901_uploaded_image1_1564061950.08.png"
"1752683786-14","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Ensemble pour enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_780854_uploaded_image1_1564061441.75.png"
"1752683786-15","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Ensemble Biberon 5 Pièces de Garçons en Bleu - à partir de ...","1 900CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_777756_uploaded_image1_1563987300.49.png"
