Column1;Column2;Column3;Column4;Column5;Column7
web-scraper-order;web-scraper-start-url;Type_Habits;Prix;Adresse;Image_Lien-href
1752676160-1;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Combinaison;12 000CFA;Grand Dakar, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/combinaison-2172432
1752676160-2;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Pantalon Kaki;8 000CFA;Grand Dakar, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-2172429
1752676160-3;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble pantalon kaki et chemise;15 000CFA;Grand Dakar, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-pantalon-kaki-et-chemise-2172426
1752676160-4;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Pantalon homme;8 500CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/pantalon-homme-2172407
1752676160-5;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Pantalon homme;8 500CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/pantalon-homme-2172405
1752676160-6;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble homme;14 000CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2172392
1752676160-7;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble homme;14 000CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2172390
1752676160-8;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble homme;12 000CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2172386
1752676160-9;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble homme;12 000CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2172383
1752676160-10;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble homme;12 000CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2172381
1752676160-11;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble homme;12 000CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2172376
1752676160-12;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble homme;11 000CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2172373
1752676160-13;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble homme;11 000CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2172371
1752676160-14;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble homme;11 000CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2172352
1752676160-15;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble habits;11 000CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-habits-2172349
1752676160-16;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble homme;11 000CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2172346
1752676160-17;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble homme;11 000CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2172345
1752676160-18;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Pantalon Kaki;6 500CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-2172334
1752676160-19;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Pantalon Kaki;6 500CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-2172332
1752676160-20;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Pantalon Kaki;6 500CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-2172331
1752676160-21;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Tee-shirt coton;1 500CFA;Les Parcelles Assainies, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/tee-shirt-coton-2171068
1752676160-22;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Pantalons Kaki;10 000CFA;Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/pantalons-kaki-2170884
1752676160-23;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble blouson pantalon original;20 000CFA;HLM, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-blouson-pantalon-original-2170116
1752676160-24;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble blouson pantalon;15 000CFA;HLM, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-blouson-pantalon-2170101
1752676160-25;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Djellaba;10 000CFA;Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/djellaba-2169732
1752676160-26;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble Tee-shirt short - Adidas;9 000CFA;Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-tee-shirt-short-adidas-2169716
1752676160-27;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble costume;23 000CFA;Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-costume-2169704
1752676160-28;https://sn.coinafrique.com/categorie/vetements-homme?page=119;T-shirt;4 000CFA;Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-2169485
1752676160-29;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Vêtements mixtes;9 000CFA;Dakar-Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/vetements-mixtes-2167614
1752676160-30;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Boubou;Prix sur demande;Dieuppeul-Derklé, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/boubou-2167228
1752676160-31;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Blousons;25 000CFA;Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/blousons-2165862
1752676160-32;https://sn.coinafrique.com/categorie/vetements-homme?page=119;T-shirt en coton;2 000CFA;Les Parcelles Assainies, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-en-coton-2162561
1752676160-33;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Bombers;15 000CFA;Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/bombers-2162486
1752676160-34;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Chemise homme;6 000CFA;Biscuiterie, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/chemise-homme-2161691
1752676160-35;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble homme;Prix sur demande;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2160072
1752676160-36;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble homme;Prix sur demande;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2160070
1752676160-37;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Ensemble homme;Prix sur demande;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2160067
1752676160-38;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Sous vêtements;4 000CFA;Hann Bel-Air, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/sous-vetements-2159719
1752676160-39;https://sn.coinafrique.com/categorie/vetements-homme?page=119;Pantalon Kaki;6 500CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-2159652
