categorie,type,prix,adresse,image_lien,prix_brut,prix_numerique,a_prix,a_image
Chaussures Enfants,Chaussures Enfants,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg,7 000CFA,7000.0,True,True
Chaussures Enfants,Chaussures Enfants,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388880_uploaded_image1_1750707623.jpg,8 000CFA,8000.0,True,True
Chaussures Enfants,Chaussures Enfants,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5327025_uploaded_image1_1747213897.jpg,Prix sur demande,,False,True
Chaussures Enfants,Chaussures Enfants,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323154_uploaded_image1_1747018204.jpg,15 000CFA,15000.0,True,True
Chaussures Enfants,Chaussures Enfants,3 500CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5294713_uploaded_image1_1745421584.jpg,3 500CFA,3500.0,True,True
Chaussures Enfants,Chaussures Enfant,18 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5284799_uploaded_image1_1744814056.jpg,18 000CFA,18000.0,True,True
Chaussures Enfants,Chaussures Pour Enfants,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5269411_uploaded_image1_1744009165.jpg,15 000CFA,15000.0,True,True
Chaussures Enfants,Chaussures Enfants,2 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5253810_uploaded_image1_1743097199.jpg,2 000CFA,2000.0,True,True
Chaussures Enfants,Chaussures Enfants,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5231318_uploaded_image1_1741923251.jpg,20 000CFA,20000.0,True,True
Chaussures Enfants,Chaussures Enfant,8 500CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181134_uploaded_image1_1739295232.jpg,8 500CFA,8500.0,True,True
Chaussures Enfants,Chaussures Enfant,7 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181139_uploaded_image1_1739295381.jpg,7 000CFA,7000.0,True,True
Chaussures Enfants,Chaussures Enfant,10 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181147_uploaded_image1_1739295472.jpg,10 000CFA,10000.0,True,True
Chaussures Enfants,Baskets Nike Jordan,20 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5210436_uploaded_image1_1740934512.jpg,20 000CFA,20000.0,True,True
Chaussures Enfants,Ballerines Enfants,12 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5141832_uploaded_image1_1737242187.jpg,12 000CFA,12000.0,True,True
Chaussures Enfants,Chaussures Enfants,2 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5125946_uploaded_image1_1736370156.jpg,2 000CFA,2000.0,True,True
Chaussures Enfants,Baskets Enfant,3 500CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5080430_uploaded_image1_1733555952.jpg,3 500CFA,3500.0,True,True
Chaussures Enfants,Basket,5 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5080428_uploaded_image1_1733555768.jpg,5 000CFA,5000.0,True,True
Chaussures Enfants,Claquettes,8 450CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5047806_uploaded_image1_1731804849.jpg,8 450CFA,8450.0,True,True
Chaussures Enfants,Ensemble Chaussures Et Chaussettes Pour Bebe,1 800CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5037805_uploaded_image1_1731321094.jpg,1 800CFA,1800.0,True,True
