categorie,type,prix,adresse,image_lien,prix_brut,prix_numerique,a_prix,a_image
Chaussures Homme,Chaussures Homme,30 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5429675_uploaded_image1_1752845536.jpg,30 000CFA,30000.0,True,True
Chaussures Homme,Sandales Orthopédiques Birkenstock,15 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5406410_uploaded_image1_1751629967.jpg,15 000CFA,15000.0,True,True
Chaussures Homme,Baskets Nike Victory One,12 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5427161_uploaded_image1_1752705753.jpg,12 000CFA,12000.0,True,True
Chaussures Homme,Chaussures Balance Cecuhri,25 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5426252_uploaded_image1_1752671625.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Chaussures Balance Cecuhri Cd Dior,20 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5426238_uploaded_image1_1752671136.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Peugeot 308 2019,4 500 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5424516_uploaded_image1_1752591026.jpg,4 500 000CFA,4500000.0,True,True
Chaussures Homme,Chaussures Orthopédique,20 000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5422221_uploaded_image1_1752482543.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Chaussures Noctar Noir,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5422186_uploaded_image1_1752481465.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Baskets Air Force One Nike,25 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5421632_uploaded_image1_1752437567.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Chaussures Nike Aires,8 500CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5419796_uploaded_image1_1752318748.jpg,8 500CFA,8500.0,True,True
Chaussures Homme,Baskets Vans Knu School,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5415335_uploaded_image1_1752087446.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Baskets  Jordan 14,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5413151_uploaded_image1_1751991507.jpg,28 000CFA,28000.0,True,True
Chaussures Homme,Baskets Jordan 4,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5413093_uploaded_image1_1751989068.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Baskets Adidas,15 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5413092_uploaded_image1_1751988865.jpg,15 000CFA,15000.0,True,True
Chaussures Homme,Crocs Sandales Orthopédiques,5 500CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5409504_uploaded_image1_1751807094.jpg,5 500CFA,5500.0,True,True
Chaussures Homme,Chaussures Homme,5 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5407551_uploaded_image1_1751666763.jpg,5 000CFA,5000.0,True,True
Chaussures Homme,Baskets Nike Tn,23 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5405139_uploaded_image1_1751566693.jpg,23 000CFA,23000.0,True,True
Chaussures Homme,Sandales Homme,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5405136_uploaded_image1_1751566608.jpg,Prix sur demande,,False,True
Chaussures Homme,Baskets Nike Tn,18 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380946_uploaded_image1_1750267531.jpg,18 000CFA,18000.0,True,True
Chaussures Homme,Baskets Air Jordan 6,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5366456_uploaded_image1_1749474268.jpg,25 000CFA,25000.0,True,True
Chaussures Homme,Chaussures Homme,30 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5403613_uploaded_image1_1751513745.jpg,30 000CFA,30000.0,True,True
Chaussures Homme,Chaussures Crocs,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5379660_uploaded_image1_1750203700.jpg,9 000CFA,9000.0,True,True
Chaussures Homme,Baskets Timberland,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5384805_uploaded_image1_1750461330.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Baskets Dior B22,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365750_uploaded_image1_1749419182.jpg,30 000CFA,30000.0,True,True
Chaussures Homme,Baskets Lacoste Trainer L003,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365745_uploaded_image1_1749419070.jpg,30 000CFA,30000.0,True,True
Chaussures Homme,Chaussures Pour Homme,10 000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5403324_uploaded_image1_1751494857.jpg,10 000CFA,10000.0,True,True
Chaussures Homme,Baskets Adidas,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365752_uploaded_image1_1749419261.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Baskets Louis Vuitton,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365755_uploaded_image1_1749419366.jpg,30 000CFA,30000.0,True,True
Chaussures Homme,Baskets Af1 / The Nord Face,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365735_uploaded_image1_1749418626.jpg,22 000CFA,22000.0,True,True
Chaussures Homme,Baskets Air Jordan 1,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365739_uploaded_image1_1749418736.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Baskets Timberland,35 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365729_uploaded_image1_1749418455.jpg,35 000CFA,35000.0,True,True
Chaussures Homme,Baskets Adidas Super Star,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365715_uploaded_image1_1749417986.jpg,20 000CFA,20000.0,True,True
Chaussures Homme,Baskets Louis Vuitton,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365721_uploaded_image1_1749418247.jpg,25 000CFA,25000.0,True,True
