categorie,type,prix,adresse,image_lien
Chaussures Homme,Chaussures homme,30 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5429675_uploaded_image1_1752845536.jpg
Chaussures Homme,Sandales orthopédiques Birkenstock,15 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5406410_uploaded_image1_1751629967.jpg
Chaussures Homme,Baskets Nike Victory One,12 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5427161_uploaded_image1_1752705753.jpg
Chaussures Homme,Chaussures Balance cecuhri,25 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5426252_uploaded_image1_1752671625.jpg
Chaussures Homme,Chaussures Balance Cecuhri cD Dior,20 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5426238_uploaded_image1_1752671136.jpg
Chaussures Homme,Chaussures Balance Cecuhri,25 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5426236_uploaded_image1_1752670965.jpg
Chaussures Homme,Peugeot 308 2019,4 500 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5424516_uploaded_image1_1752591026.jpg
Chaussures Homme,Chaussures orthopédique,20 000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5422221_uploaded_image1_1752482543.jpg
Chaussures Homme,Chaussures Noctar Noir,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5422186_uploaded_image1_1752481465.jpg
Chaussures Homme,Baskets Air Force One Nike,25 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5421632_uploaded_image1_1752437567.jpg
Chaussures Homme,Chaussures nike aires,8 500CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5419796_uploaded_image1_1752318748.jpg
Chaussures Homme,Baskets Vans Knu School,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5415335_uploaded_image1_1752087446.jpg
Chaussures Homme,Baskets  Jordan 14,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5413151_uploaded_image1_1751991507.jpg
Chaussures Homme,Baskets Jordan 4,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5413093_uploaded_image1_1751989068.jpg
Chaussures Homme,Baskets Adidas,15 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5413092_uploaded_image1_1751988865.jpg
Chaussures Homme,Crocs sandales orthopédiques,5 500CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5409504_uploaded_image1_1751807094.jpg
Chaussures Homme,Chaussures homme,5 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5407551_uploaded_image1_1751666763.jpg
Chaussures Homme,Baskets Nike TN,23 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5405139_uploaded_image1_1751566693.jpg
Chaussures Homme,Sandales homme,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5405136_uploaded_image1_1751566608.jpg
Chaussures Homme,Baskets Nike TN,18 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380946_uploaded_image1_1750267531.jpg
Chaussures Homme,Baskets Air Jordan 6,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5366456_uploaded_image1_1749474268.jpg
Chaussures Homme,Chaussures homme,30 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5403613_uploaded_image1_1751513745.jpg
Chaussures Homme,Chaussures Crocs,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5379660_uploaded_image1_1750203700.jpg
Chaussures Homme,Chaussures Crocs,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5379657_uploaded_image1_1750203622.jpg
Chaussures Homme,Baskets Timberland,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5384805_uploaded_image1_1750461330.jpg
Chaussures Homme,Baskets Dior B22,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365750_uploaded_image1_1749419182.jpg
Chaussures Homme,Baskets Lacoste Trainer L003,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365745_uploaded_image1_1749419070.jpg
Chaussures Homme,Baskets Lacoste trainer L003,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365741_uploaded_image1_1749418889.jpg
Chaussures Homme,Chaussures pour homme,10 000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5403324_uploaded_image1_1751494857.jpg
Chaussures Homme,Baskets Adidas,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365752_uploaded_image1_1749419261.jpg
Chaussures Homme,Baskets Louis Vuitton,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365755_uploaded_image1_1749419366.jpg
Chaussures Homme,Baskets AF1 / The Nord Face,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365735_uploaded_image1_1749418626.jpg
Chaussures Homme,Baskets Air Jordan 1,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365739_uploaded_image1_1749418736.jpg
Chaussures Homme,Baskets Timberland,35 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365729_uploaded_image1_1749418455.jpg
Chaussures Homme,Baskets Adidas Super Star,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365715_uploaded_image1_1749417986.jpg
Chaussures Homme,Baskets Louis Vuitton,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365721_uploaded_image1_1749418247.jpg
Chaussures Homme,Baskets Nike P6000,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365720_uploaded_image1_1749418139.jpg
