categorie,type,prix,adresse,image_lien,prix_brut,prix_numerique,a_prix,a_image
Vêtements Enfants,Vêtements D'Été Pour Fille,3 500CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5428559_uploaded_image1_1752775679.jpg,3 500CFA,3500.0,True,True
Vêtements Enfants,Robe Nuafna Mélange Géginer,10 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5427239_uploaded_image1_1752708596.jpg,10 000CFA,10000.0,True,True
Vêtements Enfants,Djalabé Pour Enfants,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374426_uploaded_image1_1749913743.jpg,10 000CFA,10000.0,True,True
Vêtements Enfants,Vêtements Enfants,3 500CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5411543_uploaded_image1_1751909046.jpg,3 500CFA,3500.0,True,True
Vêtements Enfants,Ensemble Pour Jeune Fille,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365674_uploaded_image1_1749416491.jpg,10 000CFA,10000.0,True,True
Vêtements Enfants,Robe Enfant,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5364583_uploaded_image1_1749330317.jpg,7 000CFA,7000.0,True,True
Vêtements Enfants,Robe Enfant,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5364552_uploaded_image1_1749328164.jpg,8 000CFA,8000.0,True,True
Vêtements Enfants,Ensemble Short Enfant,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5364545_uploaded_image1_1749327684.jpg,8 000CFA,8000.0,True,True
Vêtements Enfants,Robe Pour Enfants,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344465_uploaded_image1_1748167330.jpg,7 000CFA,7000.0,True,True
Vêtements Enfants,Robe,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344473_uploaded_image1_1748167713.jpg,10 000CFA,10000.0,True,True
Vêtements Enfants,Polo Lacoste Pour Enfants,4 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344468_uploaded_image1_1748167535.jpg,4 000CFA,4000.0,True,True
Vêtements Enfants,Emsemble Pour Enfants 3 Pièces,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344462_uploaded_image1_1748167236.jpg,8 000CFA,8000.0,True,True
Vêtements Enfants,Ensemble Pour Enfants De 1Ans À 3Ans,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342641_uploaded_image1_1748035425.jpg,7 000CFA,7000.0,True,True
Vêtements Enfants,Ensemble Pour Enfants De 2Ans A 6Ans Coton,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342650_uploaded_image1_1748035854.jpg,7 000CFA,7000.0,True,True
Vêtements Enfants,Ensemble Pour Enfants De 2Ans A 12Ans,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342643_uploaded_image1_1748035562.jpg,7 000CFA,7000.0,True,True
Vêtements Enfants,Ensemble Pour Enfants De 3Ans Jusqu'À 8Ans,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342638_uploaded_image1_1748035029.jpg,7 000CFA,7000.0,True,True
Vêtements Enfants,Ensemble Pour Enfants 6Mois À 4Ans,4 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342633_uploaded_image1_1748034778.jpg,4 000CFA,4000.0,True,True
Vêtements Enfants,Ensemble Pour Enfants Coton,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342628_uploaded_image1_1748034550.jpg,7 000CFA,7000.0,True,True
Vêtements Enfants,Survêtement Coton Pour Enfants,1 500CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342624_uploaded_image1_1748034284.jpg,1 500CFA,1500.0,True,True
Vêtements Enfants,Ensemble Bébé,Prix sur demande,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385373_uploaded_image1_1750509886.51.jpeg,Prix sur demande,,False,True
Vêtements Enfants,Ensemble Enfant,Prix sur demande,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385364_uploaded_image1_1750509649.41.jpeg,Prix sur demande,,False,True
Vêtements Enfants,Ensemble Pour Bébé,Prix sur demande,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385356_uploaded_image1_1750509151.08.jpeg,Prix sur demande,,False,True
Vêtements Enfants,Habillement Enfant,4 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385294_uploaded_image1_1750506744.37.jpeg,4 000CFA,4000.0,True,True
Vêtements Enfants,Ensemble Pour Enfants,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5328806_uploaded_image1_1747290315.jpg,8 000CFA,8000.0,True,True
Vêtements Enfants,Robe Enfant,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5336896_uploaded_image1_1747744426.jpg,Prix sur demande,,False,True
Vêtements Enfants,Emsemble Coton,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5290112_uploaded_image1_1745150419.jpg,7 000CFA,7000.0,True,True
Vêtements Enfants,Emsemble  Coton,6 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5289213_uploaded_image1_1745070585.jpg,6 000CFA,6000.0,True,True
Vêtements Enfants,Vetements Et Accéssoires Pour Bébé,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5281282_uploaded_image1_1744639610.jpg,Prix sur demande,,False,True
Vêtements Enfants,Gamme Et Vetement Pour Bébé,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5281278_uploaded_image1_1744639447.jpg,Prix sur demande,,False,True
Vêtements Enfants,Brassière Kids,3 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5321500_uploaded_image1_1746889004.jpg,3 000CFA,3000.0,True,True
Vêtements Enfants,Vetement Enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5312820_uploaded_image1_1746452801.jpg,Prix sur demande,,False,True
Vêtements Enfants,Vêtements Enfants,Prix sur demande,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5310010_uploaded_image1_1746279800.jpg,Prix sur demande,,False,True
Vêtements Enfants,Ensemble Pour Enfants,6 000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5309005_uploaded_image1_1746217976.jpg,6 000CFA,6000.0,True,True
